23.23,42.62,0.43386
23.23,42.622,0.43372
23.23,42.624,0.43357
23.23,42.626,0.4334
23.23,42.628,0.43321
23.23,42.629,0.433
23.23,42.631,0.43274
23.23,42.633,0.43244
23.23,42.635,0.43207
23.23,42.637,0.43162
23.23,42.639,0.43108
23.23,42.64,0.43042
23.23,42.642,0.4296
23.23,42.644,0.42861
23.23,42.646,0.42739
23.23,42.648,0.42591
23.23,42.65,0.4241
23.23,42.652,0.42189
23.23,42.653,0.41921
23.23,42.655,0.41596
23.23,42.657,0.41201
23.23,42.659,0.40721
23.23,42.661,0.40142
23.23,42.663,0.39445
23.23,42.664,0.38613
23.23,42.666,0.3763
23.23,42.668,0.36484
23.23,42.67,0.35175
23.23,42.672,0.33715
23.23,42.674,0.32133
23.23,42.676,0.30479
23.23,42.677,0.28824
23.23,42.679,0.27255
23.23,42.681,0.25868
23.23,42.683,0.24758
23.23,42.685,0.24009
23.23,42.687,0.23679
23.23,42.688,0.23795
23.23,42.69,0.24346
23.23,42.692,0.25284
23.23,42.694,0.26534
23.23,42.696,0.28001
23.23,42.698,0.29586
23.23,42.7,0.31191
23.23,42.701,0.32734
23.23,42.703,0.34152
23.23,42.705,0.35406
23.23,42.707,0.36479
23.23,42.709,0.37374
23.23,42.711,0.38106
23.23,42.712,0.38701
23.23,42.714,0.39187
23.23,42.716,0.39592
23.23,42.718,0.39941
23.23,42.72,0.40255
23.23,42.722,0.40547
23.23,42.724,0.40827
23.23,42.725,0.41099
23.23,42.727,0.41365
23.23,42.729,0.41623
23.23,42.731,0.4187
23.23,42.733,0.42103
23.23,42.735,0.42319
23.23,42.736,0.42516
23.23,42.738,0.42693
23.23,42.74,0.4285
23.23,42.742,0.42988
23.23,42.744,0.43106
23.23,42.746,0.43208
23.23,42.748,0.43294
23.23,42.749,0.43367
23.23,42.751,0.43429
23.23,42.753,0.43481
23.23,42.755,0.43525
23.23,42.757,0.43563
23.23,42.759,0.43596
23.23,42.76,0.43625
23.23,42.762,0.4365
23.23,42.764,0.43673
23.23,42.766,0.43694
23.23,42.768,0.43714
23.23,42.77,0.43733
23.23,42.772,0.43751
23.23,42.773,0.43768
23.23,42.775,0.43785
23.23,42.777,0.43801
23.23,42.779,0.43818
23.23,42.781,0.43834
23.23,42.783,0.43851
23.23,42.784,0.43867
23.23,42.786,0.43883
23.23,42.788,0.43899
23.23,42.79,0.43916
23.23,42.792,0.43932
23.23,42.794,0.43949
23.23,42.796,0.43965
23.23,42.797,0.43982
23.23,42.799,0.43998
23.23,42.801,0.44015
23.23,42.803,0.44031
23.232,42.62,0.42754
23.232,42.622,0.42737
23.232,42.624,0.42717
23.232,42.626,0.42696
23.232,42.628,0.42673
23.232,42.629,0.42646
23.232,42.631,0.42614
23.232,42.633,0.42577
23.232,42.635,0.42532
23.232,42.637,0.42478
23.232,42.639,0.42412
23.232,42.64,0.42332
23.232,42.642,0.42235
23.232,42.644,0.42117
23.232,42.646,0.41973
23.232,42.648,0.41799
23.232,42.65,0.41589
23.232,42.652,0.41336
23.232,42.653,0.41031
23.232,42.655,0.40665
23.232,42.657,0.40226
23.232,42.659,0.397
23.232,42.661,0.3907
23.232,42.663,0.38318
23.232,42.664,0.37426
23.232,42.666,0.36376
23.232,42.668,0.35154
23.232,42.67,0.33759
